UID,Item,Type,Sub-type,Slots,Vendor Price,Market Price,Max,Current,Notes
d3136656-6d68-4dfc-a1f4-170fea6a237f,6-STEN-140-M military battery (Tank battery),Barter,,8,"207,900","222,157",1,1,"1 needs to be found in raid for the quest Regulated Materials
1 needs to be obtained for the Bitcoin Farm level 3"
6562b747-8c52-4b2d-ad0a-04b11b913393,Dorm room 108 key (Dorm 108),Keys,Mechanical Key,1,"3,794","5,761",1,1,"A key to the three-story dormitory with a tag reading ""108"" on it."
a7f7568c-61fb-437e-9f71-06e58aae26ba,LEDX Skin Transilluminator (LEDX),Barter,Medical supplies,1,"305,550","822,568",6,2,"1 needs to be found in raid or crafted for the quest Private clinic
5 need to be found in raid or crafted for the quest Crisis"
79e9a83e-51ad-44f8-a438-5f9e457e5bb0,Dorm room 110 key (Dorm 110),Keys,Mechanical Key,1,"22,680","23,213",1,1,One Safe
a840d9f9-0469-4ccf-b602-1af4d8e3212e,Dorm room 114 key (Dorm 114),Keys,Mechanical Key,1,"8,820","50,435",1,1,This is a required location for the quest Pharmacist
f4478d5e-6f74-47b6-87d9-8f04bf2e3fef,Dorm room 118 key (Dorm 118),Keys,Mechanical Key,1,"3,376","4,865",1,1,Two Jackets in a clothes cabinet.
32a22599-3bea-4530-80c6-bfac5787f43a,Dorm room 203 key (Dorm 203),Keys,Mechanical Key,1,"2,249","8,640",1,1,One Sport bag
e4635bee-5e09-4cb6-a83c-f8d612e506f9,Dorm room 204 key (Dorm 204),Keys,Mechanical Key,1,"3,602","15,933",1,1,One blue standing weapons locker/Safe combo
c57a2ce7-a92f-48a5-9734-913c602d372e,Dorm room 206 key (Dorm 206),Keys,Mechanical Key,1,"1,093","8,549",1,1,"This room can contain 0.6 liter water bottles, Water bottle with a filter Aquamari, and Water filters."
51349588-f862-4b9b-bed1-ba0b055ce310,Dorm room 214 key (Dorm 214),Keys,Mechanical Key,1,"26,460","27,327",1,1,One Safe
385e6918-9dad-44ab-8879-6f6d2c7419c6,Dorm room 218 key (Dorm 218),Keys,Mechanical Key,1,"4,824","6,941",1,1,"Loose loot (Weapon, Weapon mods)"
5d1314ef-26f8-4d43-a5b6-ab8894771f2c,Dorm room 220 key (Dorm 220),Keys,Mechanical Key,1,"6,994","30,788",1,1,"This is an item required for the quest Chemical - Part 1
This is a location for the quest Chemical - Part 2"
9eee88a0-4484-46ec-91be-8c400d45084d,Dorm room 303 key (Dorm 303),Keys,Mechanical Key,1,"4,679","14,134",1,1,This is a location for the quest Golden Swag; 1 needs to be found for the quest Trust regain
8a5b5169-88da-485a-a62a-7dda83358c46,Dorm room 306 key (Dorm 306),Keys,Mechanical Key,1,"3,848","8,068",1,1,
bc135a6d-e550-4a62-90b8-08195205b6e1,Dorm room 308 key (Dorm 308),Keys,Mechanical Key,1,"2,205","15,456",1,1,
c3fac5ca-00e6-47a0-8789-4baa12135c25,Dorm room 314 marked key (Dorm mrk.),Keys,Mechanical Key,1,"21,217","33,678",1,0,
8f04e603-a88e-486e-87d5-5a45d0914e59,Dorm room 315 key (Dorm 315),Keys,Mechanical Key,1,"6,930","7,400",1,1,1 needs to be found for the quest Trust regain
eeea97da-b01e-4c39-8277-f26b21d4aa90,EMERCOM medical unit key (EMC),Keys,Mechanical Key,1,"31,500","85,318",1,1,
4eea4ded-3828-4a33-8657-4c76baed7ec8,Factory emergency exit key (Factory),Keys,Mechanical Key,1,"31,500","84,029",1,0,The locked room in the Factory is an optional quest location for the Quest Bad rep evidence if you don't have a Portable bunkhouse key
22a68fb6-c093-461f-b542-1827e8ee7f18,Folding car key (Car),Keys,Mechanical Key,1,945,"7,753",0,0,"This key used to open the trunk of a car in the dormitory parking lot on Customs which gave access to a Grenade box. This trunk is now unlocked by default, no longer requiring the key to be unlocked."
5f0299d8-a292-4625-91fb-14c35c80f150,Folding car key (Car),Keys,Info items,1,63,"8,123",1,0,
411f36cc-9241-402f-9f19-963ac0de0b81,Gas station office key (Gas office),Keys,Mechanical Key,1,"7,406","10,160",1,1,The Customs gas station manager's office key.
11c2931b-cb5b-47c6-be55-26cb3c629654,Gas station safe key (Gas safe),Keys,Mechanical Key,1,"32,760","36,319",1,0,
268dd2dc-fb0b-4969-96cc-4b656576bf5e,Gas station storage room key (Gas store),Keys,Mechanical Key,1,"5,607","11,600",1,1,Key to the main road gas station storage room on Customs.
9580b4ee-a292-43bd-923f-a62bab5cb51c,Goshan cash register key (Goshan reg.),Keys,Mechanical Key,1,"44,100","139,232",1,0,
3af6a5cb-c84d-401a-8e57-e7df43524400,Health Resort east wing office room 107 key (E107 San),Keys,Mechanical Key,1,"3,886","53,308",1,0,Key to the Azure Coast sanatorium east wing office room 107.
9d12c050-e753-4ac8-bb4f-eb2741efd095,Health Resort east wing office room 108 key (E108 San),Keys,Mechanical Key,1,"18,900","25,427",1,0,
a0a44753-d938-44e6-9000-cda70a6c4ae2,Health Resort east wing room 205 key (E205 San),Keys,Mechanical Key,1,"25,200","41,262",1,1,
3f3948b7-a471-4f77-829a-951b0e5667be,Health Resort east wing room 206 key (E206 San),Keys,Mechanical Key,1,"37,926","46,223",1,1,Key to the Azure Coast sanatorium east wing room 206.
25dd9fb1-fdd7-4895-8939-518c453045a3,Health Resort east wing room 209 key (E209 San),Keys,Mechanical Key,1,"47,880","48,763",1,0,
dd7e191a-cdb5-4dd0-978f-7b498963b7bc,Health Resort east wing room 213 key (E213 San),Keys,Mechanical Key,1,"37,800","39,080",1,0,
b188405e-1fd3-4213-8a46-64aa6b654e38,Health Resort east wing room 216 key (E216 San),Keys,Mechanical Key,1,"29,610","35,252",1,0,
d7c4334d-588e-4817-bd79-91b669cba8cb,Health Resort east wing room 222 key (E222 San),Keys,Mechanical Key,1,"32,760","57,719",1,0,
bc590d25-8050-4dba-848a-ba85e45e64aa,Health Resort east wing room 226 key (E226 San),Keys,Mechanical Key,1,"24,129","61,433",1,0,Allows access to room 222 via the shared balcony. Room 222 is locked with its own key.
6058815a-1d5e-4a5c-8d81-ccc2e8ce94d6,Health Resort east wing room 306 key (E306 San),Keys,Mechanical Key,1,"15,763","33,160",1,1,
ad6812c4-6d00-409f-9101-d6aed2a61976,Health Resort east wing room 308 key (E308 San),Keys,Mechanical Key,1,"18,900","33,265",1,1,Can't be traded on market.
b937c496-afbf-490f-9cac-dad317659a87,Health Resort east wing room 310 key (E310 San),Keys,Mechanical Key,1,"43,470","73,077",1,0,
672e30b3-4164-453a-9181-b51426cd5d02,Health Resort east wing room 313 key (E313 San),Keys,Mechanical Key,1,"31,500","43,607",1,1,A key to the Azure Coast sanatorium east wing room 313.
d9857f4a-7f31-44e1-8cce-aa174ecb03fc,Health Resort east wing room 314 key (E314 San),Keys,Mechanical Key,1,"12,814","26,178",1,1,
0ad810b6-1c0a-400e-a4ff-db835bb00f09,Health Resort east wing room 316 key (E316 San),Keys,Mechanical Key,1,"5,799","22,044",1,1,Key to the Azure Coast sanatorium east wing room 316.
3257e049-4714-4f69-88bb-037ac895ccaa,Health Resort east wing room 322 key (E322 San),Keys,Mechanical Key,1,"47,880","50,819",,0,
d4dfa1fb-32b5-4a44-89a9-2cc5a5b2c3f1,Health Resort east wing room 328 key (E328 San),Keys,Mechanical Key,1,"41,580","79,930",,0,
9c161cad-8de6-45e1-b246-0637f98434d1,Health Resort management office safe key (Safe),Keys,Mechanical Key,1,"47,250","77,630",,0,
770d636f-7837-4e72-b010-66338fbf6cb9,Health Resort management warehouse safe key (Safe),Keys,Mechanical Key,1,"54,180","75,295",,0,
28091ab5-f397-4ca8-8348-96e2cb025d12,Health Resort office key with a blue tape (San tape),Keys,Mechanical Key,1,"11,529","126,729",1,1,"A key to one of the Azure Coast sanatorium office rooms, marked with blue duct tape."
43220c45-100c-44fb-a262-980735f2f9ee,Health Resort universal utility room key (San util.),Keys,Mechanical Key,1,"23,310","44,084",1,1,Used in the quest Wet Job - Part 5 when you don't have a Health Resort east wing room 328 key
1ef2585d-76d7-4974-8804-1aecdb563212,Health Resort west wing office room 104 key (W104 San),Keys,Mechanical Key,1,"28,350","72,030",,0,
8530af95-9e03-41ee-a8ee-1e2799daf115,Health Resort west wing office room 112 key (W112 San),Keys,Mechanical Key,1,"22,050","44,137",1,1,
71f4586f-19d4-4277-a463-43f2d67a2259,Health Resort west wing room 203 key (W203 San),Keys,Mechanical Key,1,"17,155","34,795",1,0,
bb554d5c-7476-4c16-88e4-cb9f6244d462,Health Resort west wing room 205 key (W205 San),Keys,Mechanical Key,1,"31,185","79,493",,0,
130ed773-7ba8-48ca-a728-76faa2dccf09,Health Resort west wing room 207 key (W207 San),Keys,Mechanical Key,1,"47,250","48,125",1,1,Key to the Azure Coast sanatorium west wing room 207.
f21ffe76-2412-4e00-b0d8-c79901c4d510,Health Resort west wing room 216 key (W216 San),Keys,Mechanical Key,1,"47,250","281,422",1,1,
ad360ab8-7eae-4dfc-b87c-709cf44be2e8,Health Resort west wing room 218 key (W218 San),Keys,Mechanical Key,1,"22,050","48,858",1,1,
c5b08816-9967-4705-9e4d-84e7fec311b6,Health Resort west wing room 219 key (W219 San),Keys,Mechanical Key,1,"25,200","70,770",1,1,
41fc64dc-c2a5-460d-a7c4-60f929776b12,Health Resort west wing room 220 key (W220 San),Keys,Mechanical Key,1,"32,760","86,116",,0,
36a90266-7423-451c-8dbb-764efa0790f3,Health Resort west wing room 221 key (W221 San),Keys,Mechanical Key,1,"56,700","57,322",1,0,Open balcony allowing access to rooms 218 and 222.
d91fb710-f131-4716-a0fe-5ef8302a61d6,Health Resort west wing room 222 key (W222 San),Keys,Mechanical Key,1,"31,500","42,669",,1,
c74f6dea-b77b-4a3a-9ebe-342c7cac3f9c,Health Resort west wing room 301 key (W301 San),Keys,Mechanical Key,1,"54,810","163,230",,0,
ac933f86-7877-49a3-be5e-b8de8d4219f5,Health Resort west wing room 303 key (W303 San),Keys,Mechanical Key,1,"51,030","57,931",,0,
10d1f8d1-05e2-4b2d-b2c4-5d85e8bf59d8,Health Resort west wing room 306 key (W306 San),Keys,Mechanical Key,1,"24,079","59,464",1,0,
142cef39-23d4-458c-8a0d-1d1b735e674e,Health Resort west wing room 309 key (W309 San),Keys,Mechanical Key,1,"42,840","45,948",1,0,
d38b3215-6a29-4fbd-89c2-4452f5d13e28,Health Resort west wing room 321 safe key (W321 safe),Keys,Mechanical Key,1,"11,529","40,233",,0,
06c085e7-2720-4676-af66-c6fbc1370cad,Health Resort west wing room 323 key (W323 San),Keys,Mechanical Key,1,"47,880","48,529",1,1,
5e87fdce-a5ed-4ded-bee2-a51cc6eb412b,Health Resort west wing room 325 key (W325 San),Keys,Mechanical Key,1,"26,460","29,761",1,1,Key to the Azure Coast sanatorium west wing room 325.
45aa72f2-79fb-4297-907b-28a8fe0a7d89,HEP station storage room key (HEPS),Keys,Mechanical Key,1,"25,200","60,451",1,1,
034a7e8d-cec3-4e72-af70-39cfd49cebc8,Hillside house key (House),Keys,Mechanical Key,1,"12,600","78,250",1,0,Unlocks the hillside house on Lighthouse.
7402532a-5fd6-44d4-8ca1-c965c3805903,IDEA cash register key (IDEA reg.),Keys,Mechanical Key,1,"50,400","50,577",,0,
b4c395c0-37e2-4106-b14a-0ca49e726c77,Keycard with a blue marking (Keycard),Keys,,1,"31,500","238,979",,0,
dbab964d-c699-49c3-9e26-7a65619e7fb6,Kiba Arms inner grate door key (KIBA inner),Keys,Mechanical Key,1,"42,462","80,367",1,0,
36f30c05-7865-409c-bad2-cc309fca4bd3,Kiba Arms outer door key (KIBA outer),Keys,Mechanical Key,1,"44,100","99,883",0,1,
ffaea168-4de8-4d05-a2df-bd5c8555f824,Machinery key (Machinery),Keys,Mechanical Key,1,"1,269","10,901",1,1,This is a quest location for Checking
17686d86-c94c-4f0a-b7fa-88c3dc51d363,Machinery key (Machinery),Keys,Mechanical Key,1,63,"10,577",1,0,
eba143a8-2a9d-49ae-a87b-1d2d7eac29e5,Merin car trunk key (Merin),Keys,Mechanical Key,1,"17,010","38,128",1,0,
4f615ebf-4384-4c76-94d6-1a6b808981bb,Military checkpoint key (Checkpoint),Keys,Mechanical Key,1,"28,350","29,003",1,1,This key unlocks the door at the end of the main road on Customs for the military checkpoint.
6fef3370-2d30-486d-9148-ad2abeb18aac,NecrusPharm pharmacy key (Pharmacy),Keys,Mechanical Key,1,"51,030","56,755",1,0,
6554e6d6-c577-4ea5-a112-a9c3a332360c,Object #11SR keycard (#11SR),Keys,,1,"63,000","170,457",1,0,
8eb40cbc-89ce-4f3e-a348-3970c5763ead,NIXXOR lens (NIXXOR),Barter,Electronics,1,"15,939","52,802",8,8,8 need to be obtained for the Security level 3
d51aa682-63ad-437f-97d2-e3323340ad2e,Metal cutting scissors (MScissors),Barter,Tools,2,"14,049","14,079",1,1,Save for crafting 
f6ec24a8-e756-4985-a1d6-f1e648165994,Chain with Prokill medallion (Prokill),Barter,Valuables,1,"53,550","62,920",0,0,2x Military COFM + 1x Checkpoint key + 2x Prokill chain + 2x Phased array element trades for tactical sword with Skier LL4
9eb79bfc-c990-4fde-9126-74ab52da61c2,Tetriz portable game console (Tetriz),Barter,Electronics,2,"75,600","79,460",2,2,2 can be traded with green bats for physical bitcoin.
8588efb4-b38e-43e9-8c55-7d6f5b8e2735,Deadlyslob's beard oil (BeardOil),Barter,Household materials,1,"34,933","38,126",1,0,1 needs to be found in raid for the quest Collector; Trades for a Remington Model 700 at Jaeger LL2 but I'm not sure I want this rifle.
60f2a281-8a39-4b17-a37a-84d80abaf734,Roler Submariner gold wrist watch (Roler),Barter,Valuables,1,"44,761","48,742",5,5,"1 needs to be found in raid for the quest Living High is Not a Crime - Part 1
4 need to be obtained for the Scav Case"
8b1e494b-21b1-4386-b6d1-6f75d4025c41,42nd Signature Blend English Tea (42nd),Barter,Others,1,"17,485","21,257",1,1,1 needs to be found in raid for the quest Collector
8442dd79-d8a3-4fd9-b575-51087a348b40,Portable Powerbank (Powerbank),Barter,Electronics,1,"12,846","26,219",0,0,Profitable.
6d59aee8-84cc-4c8d-8aa3-df18f68fa513,Ophthalmoscope (OScope),Barter,,1,"53,495","75,741",6,2,
0850ec42-4a23-4b32-a87c-2f706fd289a4,Dry fuel (DFuel),Barter,Flammable materials,1,"26,570","28,113",3,3,3 need to be obtained for Heating level 2
bd0d4464-06a3-4485-9dfd-3731e3b4de76,Alkaline cleaner for heat exchangers (Alkali),Barter,Household materials,2,"5,328","13,373",4,4,"2 need to be found in raid for the quest Spa Tour - Part 7
2 need to be obtained for the nutrition unit level 2"
440cc522-a5dd-4fd6-8aba-e59354e98ad9,5L propane tank (Propane),Barter,Flammable materials,4,"7,967","30,755",2,2,2 need to be found in raid for the quest Spa Tour - Part 7
c73ab957-7754-480b-b6bb-9ee3baa8d932,Medical bloodset (Bloodset),Barter,Medical supplies,1,"6,152","10,490",3,3,3 need to be found in raid or crafted for the quest Vitamins - Part 2
7ad8c16e-42bc-4f2d-9cb7-7f61bb586ddd,Shustrilo sealing foam (Shus),Barter,Building materials,3,"22,366","31,218",5,4,5 need to be obtained for the Water Collector level 3
6038fd0e-cb60-4595-8ede-6bea1263cf80,Clin window cleaner (Clin),Barter,Household materials,2,"4,484","11,358",2,2,2 need to be found in raid for the quest Spa Tour - Part 3
76db20b5-3300-4754-b10b-426b78f47e71,Magnet (Magnet),Barter,Electronics,1,"8,009","19,928",1,1,1 needs to be obtained for the rest space level 2
512394c7-b133-4662-b68b-5271d30ed267,Soap (Soap),Barter,Household materials,1,"2,451","10,051",0,0,1 needs to be obtained for the lavatory level 1
29c327c0-3df9-4d6e-8fc9-6733a407033c,Golden neck chain (GoldChain),Barter,Valuables,1,"24,052","33,732",9,7,9 need to be obtained for the quest Chumming
1586a968-a72f-406f-9759-ec08ca583b1e,Chainlet (Chainlet),Barter,Valuables,1,"4,558","6,526",2,2,2 need to be obtained for the library
c11a03d3-2a98-4d19-a46b-363c30b427c2,Silver Badge (Badge),Barter,Valuables,1,"37,983","37,630",1,1,1 needs to be found in raid for the quest Collector
db32e698-23f7-4835-a62c-2eacdb0b84cb,Pliers (Pliers),Barter,Tools,1,"5,040","11,817",0,0,Keep 1 for crafting.
1cf15b65-2a21-4d20-a635-23d210d9afa0,Wrench (Wrench),Barter,Tools,1,"2,233","10,613",4,4,4 need to be obtained for the nutrition Unit level 2
b14fb74e-f7f2-44c4-83a4-5a1ee930c68a,Screwdriver (Scdr.),Barter,Tools,1,"2,205","11,130",0,1,Keeping 1 for crafting.
601db28c-cda6-47ce-947e-f528aa9dfc20,Printer paper (Paper),Barter,Household materials,2,"1,472","19,002",0,0,Mostly useless
7ed48264-c26c-4df0-8d52-67149d31a66c,T-Shaped plug (T-Plug),Barter,Electronics,1,"1,563","9,131",4,4,4 need to be found in raid or crafted for the quest Farming - Part 2
60873246-ec1e-4eba-9368-3de89673c69c,USB Adapter (USB-A),Barter,Electronics,1,"1,094","8,398",0,0,Mostly useless
460e26b9-7cc1-414a-88d3-a89d9702713e,Toothpaste (Toothpaste),Barter,Household materials,1,"1,214","18,073",0,0,15 needed for THICC case from Therapist LL4
acad7790-99d4-475e-b7a5-9fd590e5bffd,Construction measuring tape (MTape),Barter,Tools,1,"2,374","12,053",0,2,Kinda useless
782dd190-626e-4a1d-b5d9-7b09a721e13e,Duct tape (Duct tape),Barter,Building materials,1,"1,574","12,385",0,0,1 needs to be obtained for the rest space level 1
7f1f9e1c-d7d5-4fa0-b881-f552fedca979,Power cord (PCord),Barter,Electronics,2,"7,952","21,311",0,3,2 need to be found in raid for the quest Farming - Part 2
da5c4c5a-59b9-4dbd-a78b-d888d3c880c7,RAM (RAM),Barter,Electronics,1,"6,909","11,236",0,0,Don't really see any uses other than convoluted save-to-craft-something-else scenarios
b2758a6d-e5ee-47af-acb8-9c1e2b150ee6,PC CPU (CPU),Barter,Electronics,1,"8,766","9,056",3,3,3 need to be found in raid for the quest Signal - Part 2
614ee70f-b6d9-4c62-b3f7-a0248ae589e8,CPU Fan (CPU Fan),Barter,Electronics,1,"2,942","16,317",8,8,8 need to be found in raid for the quest Farming - Part 4
734eb422-a419-42e5-ae8b-d510166647a5,Broken GPhone smartphone (GPhone),Barter,Electronics,1,"11,770","15,959",3,3,3 need to be found in raid for the quest Signal - Part 2
7c5884a3-0de6-4254-add6-4a74bae9f8ec,Ultraviolet lamp (UV Lamp),Barter,Electronics,1,"9,799","9,783",0,0,Trades for some so-so items.
0d7144cd-9b75-4085-b0e1-42d0d11478dc,D Size battery (D batt.),Barter,Energy elements,1,"1,390","12,817",0,0,Mediocre trade items
8e915201-e9b2-4d30-ac63-4225298efdc6,AA Battery (AA batt.),Barter,Energy elements,1,411,"4,020",0,0,
e7a85d68-562a-4d6f-b2aa-7810d9bbdbf7,Broken GPhone X smartphone (GPX),Barter,Electronics,1,"20,160","69,537",0,1,
ca0355fb-4eb6-4c51-ab80-57dc3ccdf226,Capacitors (Caps),Barter,Electronics,1,"1,575","11,857",5,5,5 need to be found in raid or crafted for the quest Fertilizers
8a9d698f-aa8a-450f-8737-70509185aa23,Gas analyzer (GasAn),Barter,Electronics,2,"13,669","16,048",0,0,"1 needs to be found in raid for the quest Sanitary Standards - Part 1
2 need to be found in raid for the quest Sanitary Standards - Part 2"
39852813-fd75-4eb9-a4d6-d98e236b72fb,Wooden clock (WClock),Barter,Valuables,4,"52,489","53,292",0,0,
23cd6ce1-4f19-4133-aa24-269f721ae76b,Cat figurine (Cat),Barter,Valuables,3,"39,254","39,141",1,1,1 needs to be found in raid for the quest Living High is Not a Crime - Part 1
45791365-614a-4bdd-b0f7-de4328b6077a,Strike Cigarettes (Strike),Barter,Others,1,"1,966","11,703",5,1,5 need to be found in raid for the quest Bad habit
52a458dd-ebe8-40bd-9dd3-c8814fec8f2a,Energy-saving lamp (ES Lamp),Barter,Electronics,1,"6,818","13,869",3,3,"3 need to be obtained for the rest space level 2, Sell for a good price."
4b1e2cda-bec2-4578-9ff1-1309481c6168,Zibbo lighter (Zibbo),Barter,Flammable materials,1,"6,059","9,183",0,0,10 trade for fuel.  Not worth it.  Good for sale though.
45bc4c86-cb1e-4e87-8b6e-f4abcb890cd4,Bolts (Bolts),Barter,Building materials,1,"6,930","21,110",28,15,5 need to be obtained for the shooting range; 5 need to be obtained for the water collector level 1; 2 need to be obtained for the workbench level 1; 6 need to be obtained for the workbench level 2; 10 need to be obtained for the stash level 4
633a0cf4-dcc1-4d35-bd94-31f4caec38d9,Screw nuts (Nuts),Barter,Building materials,1,"5,481","17,511",5,5,5 need to be obtained for the shooting range
e0723cd1-8eb0-4b6a-8ed0-72e3997754c9,Expeditionary fuel tank (Fuel),Barter,Flammable materials,4,"31,500","77,057",99,0,Once empty use to craft magazine cases
f2d80ab6-47f0-424a-bb6f-4b8e5c742aec,Paracord (Paracord),Barter,Others,2,"14,175","30,357",3,3,3 need to be found in raid for the quest Textile - Part 1
84657dfa-33cf-4222-9ca6-6d04315f58c2,Dogtag USEC (USEC),Barter,,1,378,600,,0,
d7102632-edbe-4c84-a7b1-dd85f4da06fb,Dogtag BEAR (BEAR),Barter,,1,378,600,,0,
21a8189b-6e32-4823-8de6-ae64aedac6a2,Pack of nails (Nails),Barter,Building materials,1,"2,586","17,180",4,4,4 need to be obtained for the Shooting Range
274d42ed-e8dd-4fd7-8e53-d589d15aef10,Object #21WS keycard (#21WS),Keys,,1,"31,500","61,626",1,0,
7f5afdbc-a2ba-4017-b380-7e09b8370d1f,OLI administration office key (OLI office),Keys,Mechanical Key,1,"19,530","25,431",1,1,
d76d331f-4cfc-43c9-bd36-57ab408da5f6,OLI cash register key (OLI reg.),Keys,Mechanical Key,1,"50,400","51,976",1,1,The key to the cash registers of the OLI store outlet at the Ultra shopping mall.
57561fa5-1f42-413f-b6e8-c6482bd12455,OLI logistics department office key (OLI Log.),Keys,,1,"44,100","103,915",1,1,
079d145b-2659-4a7d-8a57-cfaa885ea509,OLI outlet utility room key (OLI util.),Keys,Mechanical Key,1,"27,090","31,298",1,0,Key to the utility room of the OLI store outlet at the Ultra shopping mall.
f0e6f44b-0cf4-4d06-8260-d3836bc1631a,Operating room key (OR),Keys,Info items,1,"32,760","449,769",1,1,
b0612152-286c-4402-9947-1b146e3d0d64,Police truck cabin key (Police),Keys,,1,"15,120","31,078",1,0,
fdc6a458-6695-41a5-a837-76a6b6b27ab0,Portable bunkhouse key (Bunkhouse),Keys,Mechanical Key,1,"2,115","14,999",1,0,"A key to one of the portable cabins on Customs that was being used as a bunkhouse, located across the road from the bus lot near the dormitories.; 1 x Weapon box (5x2)"
